,To,Ti_sp2,Φo,Φi,Qa,Φa,Etot
2000-02-03 20:00:00+01:00,7.0,20,0.0,0.0,3500.0,0.0,0.0
2000-02-03 21:00:00+01:00,6.0,20,0.0,0.0,3500.0,0.0,0.0
2000-02-03 22:00:00+01:00,5.0,20,0.0,0.0,3500.0,0.0,0.0
2000-02-03 23:00:00+01:00,3.0,18,0.0,0.0,3500.0,0.0,0.0
2000-02-04 00:00:00+01:00,3.0,18,0.0,0.0,3500.0,0.0,0.0
2000-02-04 01:00:00+01:00,3.0,18,0.0,0.0,3500.0,0.0,0.0
2000-02-04 02:00:00+01:00,2.0,18,0.0,0.0,3500.0,0.0,0.0
2000-02-04 03:00:00+01:00,1.0,18,0.0,0.0,3500.0,0.0,0.0
2000-02-04 04:00:00+01:00,1.0,18,0.0,0.0,3500.0,0.0,0.0
2000-02-04 05:00:00+01:00,1.0,18,0.0,0.0,3500.0,0.0,0.0
2000-02-04 06:00:00+01:00,1.0,20,0.0,0.0,3500.0,0.0,0.0
2000-02-04 07:00:00+01:00,1.0,20,0.0,0.0,3500.0,0.0,0.0
2000-02-04 08:00:00+01:00,1.0,20,56.7,1.5750000000000002,3500.0,7.9799999999999995,4.2
2000-02-04 09:00:00+01:00,1.0,20,340.2,9.45,3500.0,47.879999999999995,25.2
2000-02-04 10:00:00+01:00,2.0,20,652.05,18.112499999999997,3500.0,91.77,48.3
2000-02-04 11:00:00+01:00,3.0,20,3627.2242921786333,100.75623033829538,3500.0,510.4982337140299,268.683280902121
2000-02-04 12:00:00+01:00,5.0,20,8732.096821285557,242.5582450357099,3500.0,1228.9617748475969,646.8219867618931
2000-02-04 13:00:00+01:00,7.0,20,9178.240209050102,254.95111691805837,3500.0,1291.7523257181624,679.8696451148223
2000-02-04 14:00:00+01:00,8.0,20,7195.2631295160945,199.86842026433595,3500.0,1012.6666626726354,532.9824540382292
2000-02-04 15:00:00+01:00,7.0,20,4580.291346775808,127.23031518821689,3500.0,644.6335969536323,339.2808405019117
2000-02-04 16:00:00+01:00,6.0,20,1858.280974000801,51.61891594446669,3500.0,261.5358407852979,137.65044251857785
2000-02-04 17:00:00+01:00,5.0,20,132.3,3.6750000000000003,3500.0,18.62,9.8
2000-02-04 18:00:00+01:00,4.0,20,0.0,0.0,3500.0,0.0,0.0
2000-02-04 19:00:00+01:00,4.0,20,0.0,0.0,3500.0,0.0,0.0
2000-02-04 20:00:00+01:00,2.0,20,0.0,0.0,3500.0,0.0,0.0
2000-02-04 21:00:00+01:00,2.0,20,0.0,0.0,3500.0,0.0,0.0
